pct_name,pct_id,pct_num,reg_vot,cand_name,cand_party,votes
04-120 Juneau No. 3,04-120,40,1097,Sonski/Onak,ASP,1
04-120 Juneau No. 3,04-120,40,1097,Stein/Ware,GRN,2
04-120 Juneau No. 3,04-120,40,1097,Terry/Broden,CON,0
04-120 Juneau No. 3,04-120,40,1097,Trump/Vance,REP,76
04-120 Juneau No. 3,04-120,40,1097,West/Abdullah,AUR,1
04-120 Juneau No. 3,04-120,40,1097,YES,YES,60
04-120 Juneau No. 3,04-120,40,1097,NO,NO,185
04-125 Lemon Creek,04-125,41,2485,Harris/Walz,DEM,289
04-125 Lemon Creek,04-125,41,2485,Kennedy/Shanahan,RFK,13
04-125 Lemon Creek,04-125,41,2485,Oliver/Maat,LIB,7
04-125 Lemon Creek,04-125,41,2485,Sonski/Onak,ASP,5
04-125 Lemon Creek,04-125,41,2485,Stein/Ware,GRN,2
04-125 Lemon Creek,04-125,41,2485,Terry/Broden,CON,1
04-125 Lemon Creek,04-125,41,2485,Trump/Vance,REP,248
04-125 Lemon Creek,04-125,41,2485,West/Abdullah,AUR,3
04-125 Lemon Creek,04-125,41,2485,YES,YES,188
